county,diabetes,obesity
13227,9.7,26.6
13229,11.1,26.5
13231,9.7,22.1
13233,11.3,32.9
13235,11.4,23.8
13237,7.3,20.8
13239,8.1,17.5
13241,8.3,20.7
13243,8.7,21.4
13245,14.7,38.4
13247,8.8,34.1
13249,7.5,17.7
13251,8.6,26.7
13253,9,19.5
13255,8,31.3
13257,8.8,18.6
13259,8.6,16.6
13261,12.7,26.4
13263,7.9,18.8
13265,8.2,16.8
13267,8.9,22
13269,9.9,20.1
13271,12.8,33.4
13273,8.1,17.5
13275,10.3,24.6
13277,12.8,33.4
13279,8.1,32
13281,7.7,20.7
13283,9.9,22.5
13285,9.9,37
13287,10.6,20.8
13289,8.6,16.9
13291,5.9,21.7
13293,8.7,25.4
13295,10.4,26.1
13297,8.7,33.1
13299,10.6,27.8
13301,9.4,20.8
13303,10.6,19.6
13305,10.7,22.5
13307,7.6,17.5
13309,8.4,20.3
13311,7.7,21.8
13313,12.1,36
13315,8.5,21.2
13317,10.4,20.6
13319,8.6,18.8
13321,10.3,23.5
15001,8.3,25.9
15003,9.8,25.1
15005,8.4,16.9
15007,8,23.8
15009,7.9,24.9
16001,7.1,25.9
16003,6.7,23.4
16005,8.7,34.2
16007,8.1,28.5
16009,8.8,24.9
16011,10.7,38
16013,5.5,17.3
16015,6.3,27.7
16017,6.8,23.9
16019,8.8,33
16021,7.3,23.7
16023,8,23.6
16025,7.5,22.6
16027,11.1,35
16029,7,28.7
16031,8.6,32.2
16033,7.1,19.7
16035,9.7,28.8
16037,7,21.7
16039,8.6,29.6
16041,7.2,28.9
16043,9.1,28.2
16045,8.4,29.1
16047,8.2,34.2
16049,8.3,26.7
16051,6.6,35
16053,6.9,26.9
16055,8.4,28.1
16057,7.9,25.4
16059,7.8,30.4
16061,11.5,31.3
16063,7.9,23.9
16065,6.5,31
16067,9.4,32.3
16069,10.3,31.4
16071,8.3,23.5
16073,7.4,22.1
16075,8.7,33
16077,7.2,29.6
16079,10,32.9
16081,6.2,25.3
16083,9.2,31.5
16085,5.4,14.7
16087,8.3,33.1
17001,7.9,20.4
17003,7.4,17.7
17005,7.1,18.5
17007,7.2,20.8
17009,7.2,17.4
17011,7.6,22.5
17013,6.8,18.2
17015,7.1,20.9
17017,7.1,17.8
17019,8.1,24.6
17021,7.8,24.4
17023,6.6,19.5
17025,7.3,20.1
17027,6.9,21.9
17029,7.4,22.1
17031,8.5,26.7
17033,7.5,21.6
17035,7.3,18.1
17037,8.1,29.2
17039,6.7,18.1
17041,7.1,20.8
17043,7.4,24.5
17045,7.2,19.5
17047,6.6,18.2
17049,6.7,20.3
17051,7,21.2
17053,7.4,18.6
17055,8.1,23.1
17057,7.3,22.2
17059,6.9,17.7
17061,7.2,18.7
17063,7.3,22.7
17065,6.8,19.1
17067,7.2,22.1
17069,6.9,18.7
17071,7.2,22.8
17073,6.8,23.6
17075,7.5,20.8
17077,8.3,23
17079,7.2,18.5
17081,7.1,20.2
17083,7.7,22.5
17085,7.9,27.3
17087,7,18.4
17089,9.6,32.7
17091,8.6,29.8
17093,8.8,26.3
17095,7.6,27.1
17097,7.7,27.7
17099,8.4,29.5
17101,7,18.4
17103,7,22.6
17105,8.1,21.6
17107,7.2,19.3
17109,7.1,19.4
17111,7.5,31
17113,8.1,29.7
17115,7.3,26.8
17117,8.4,25.1
17119,9.5,35.8
17121,8.8,19.7
17123,6.9,18.1
17125,7,21.6
17127,7.1,18.5
17129,7.3,21.6
17131,8.1,21.7
17133,8.3,24.3
17135,7.6,26.5
17137,7.1,23
17139,6.9,17.6
17141,7,25.1
17143,8.8,32.4
17145,7.7,20.5
17147,7.1,19.7
17149,7.1,18.8
17151,7,17.8
17153,7.6,18.8
17155,7,17.6
17157,6.8,24.2
17159,7,18.3
17161,9.7,28.3
17163,9.1,34.8
17165,6.7,18.7
17167,9,29.1
17169,6.7,17.6
17171,7,17.7
17173,7.2,19.3
17175,6.9,18.6
17177,7.4,25.4
17179,7.2,24.4
17181,7.2,18.6
17183,6.9,28.9
17185,7.4,18.1
17187,7.3,20.3
17189,7,19.8
17191,7.2,20.8
17193,7.2,20.2
17195,8.6,30.4
17197,8.2,32.3
17199,9.4,21.7
17201,8.7,35.8
17203,7,23.1
18001,7.7,30.4
18003,9,36.4
18005,10.1,32.2
18007,6.8,21.6
18009,7.7,28.9
18011,8.1,30.7
18013,8.2,23
18015,8.3,33.2
18017,8.6,30.5
18019,9.3,36.1
18021,9.7,28.7
18023,9,38
18025,8.8,24
18027,8.4,32.7
18029,7.4,29
18031,10.8,33.8
18033,8.6,31.7
18035,11.7,35.1
18037,7.8,30.5
18039,8.1,33.8
18041,9.3,25.6
18043,7.4,26.4
18045,8.2,21.6
18047,7.3,25.3
18049,8.1,24.3
18051,7.9,31.2
18053,10.2,32.4
18055,8.9,31.2
18057,8.4,25
18059,9.4,35
18061,9.3,36.4
18063,9.5,29.6
18065,7.6,35
18067,9.8,37.4
18069,10.5,32.4
18071,10.8,29.1
18073,8.1,27.8
18075,8.2,28.8
18077,7.9,26.4
18079,10.3,33.4
18081,10.5,30
18083,9.6,39.7
18085,9.9,32.9
18087,8.2,28.8
18089,11.5,39.1
18091,11.7,35.5
18093,8.7,36.2
18095,12.9,37.3
18097,11.4,34.5
18099,7.3,34.5
18101,7.9,26
18103,10,28.2
18105,8.3,26.1
18107,8.9,37.4
18109,15.1,38.2
18111,8.5,24.4
18113,8.8,31.9
18115,6.7,19.9
18117,10.7,22
18119,10.7,29.5
18121,8.8,26.7
18123,7.3,26.4
18125,8.4,22.4
18127,9.1,34
18129,8.2,29.4
18131,7.2,30.1
18133,11.6,27.8
18135,8.4,24.4
18137,8.4,29.2
18139,8.7,25.8
18141,8.9,35.8
18143,9.9,25.8
18145,10.3,33.5
18147,7.3,25.8
18149,7.9,30.7
18151,7.8,31.2
18153,8.4,27.2
18155,7.5,22.9
18157,8.5,31.8
18159,8.9,26.1
18161,7.3,19.2
18163,10.5,32.9
18165,7.5,22.3
18167,10.6,29.9
18169,9.6,33.8
18171,8.5,22.3
18173,9.5,37.4
18175,8.2,28.7
18177,8.4,33.1
18179,7.5,25.5
18181,9.9,30.8
18183,7.8,28.5
19001,7.6,26.4
19003,7,23
19005,7.3,31.1
19007,7.7,32.4
19009,8.7,23.6
19011,8.2,34.4
19013,8.9,37.2
19015,9.5,35.9
19017,7,34.6
19019,9,38.6
19021,7,22
19023,7.1,28.9
19025,8.1,27
19027,6.6,28.1
19029,7.8,27.8
19031,6.4,38.4
19033,9.4,32.7
19035,8.6,32.9
19037,7.1,27.6
19039,7.3,26.6
19041,7.9,35.4
19043,8.1,37.1
19045,8.5,36.7
19047,7.3,30.8
19049,6.2,32.7
19051,8.3,30.1
19053,6.5,24.7
19055,8.3,36.5
19057,8.5,31.9
19059,7.6,30
19061,7.6,33.3
19063,7.8,29.7
19065,7.6,34
19067,7.8,34.1
19069,9.2,36.8
19071,7.8,32
19073,7.3,25
19075,7,31.8
19077,6.8,33.9
19079,7.5,30.5
19081,7.6,25.4
19083,8.6,32.2
19085,9,34
19087,8.6,28.4
19089,6.8,31.9
19091,8.4,25.6
19093,6.3,27.8
19095,7.8,38.5
19097,7.4,32.4
19099,8.7,33.5
19101,6.4,25.2
19103,7,25.9
19105,9,34.3
19107,7.8,32.7
19109,9.7,33.5
19111,8.8,35.3
19113,8.8,35.9
19115,7.6,25.2
19117,9.1,25.1
19119,6.9,24.2
19121,7,31.9
19123,7.2,24.5
19125,8,30.8
19127,9.2,37.4
19129,8.4,27.7
19131,7.7,30.4
19133,9.1,29
19135,7.1,28.6
19137,8.7,32.1
19139,9,41.4
19141,6.7,27.7
19143,7.5,28
19145,10.5,34.7
19147,8.2,34
19149,6.5,29.1
19151,7.3,26.8
19153,8.8,35.5
19155,9.5,39.4
19157,7.6,33.6
19159,8.8,28.8
19161,7.1,36.2
19163,9.9,35.1
19165,9,32.5
19167,7.9,31.1
19169,7.5,27.3
19171,6.8,32.9
19173,7.4,27.4
19175,10.1,27.2
19177,7.4,25.8
19179,11.8,33.9
19181,8.8,36.2
19183,7.3,31.8
19185,9.5,29.1
19187,8.3,31.1
19189,7.4,30
19191,5.9,27.9
19193,11.5,37.3
19195,7.3,22.4
19197,10.1,37.4
20001,10.3,35.5
20003,6.4,30.2
20005,7.2,29.9
20007,7.1,30.2
20009,10.8,30.2
20011,11,40.4
20013,9.5,33.8
20015,9.7,36.8
20017,7.6,22.7
20019,6.9,22.1
20021,10.1,27.3
20023,7.6,21.5
20025,5.9,24.7
20027,10.4,34.7
20029,8.8,30.5
20031,7.8,27
20033,7.4,22.7
20035,9.9,36.8
20037,7.7,31.8
20039,6.8,24.9
20041,7.6,36.2
20043,8.7,22.8
20045,7.2,29
20047,10.4,26.6
20049,9.1,21.9
20051,7.8,27.7
20053,7.4,26.9
20055,9.8,41.4
20057,10,36.8
20059,8.7,35.3
20061,9.2,32.2
20063,8,23
20065,6.6,27
20067,6.5,27.2
20069,5.7,31.3
20071,6.3,17.8
20073,8.3,28.9
20075,7.2,17.6
20077,6.9,23.6
20079,7.5,30.9
20081,7.6,22.2
20083,7.3,25.2
20085,8.7,32.2
20087,9.9,33.2
20089,8,22.9
20091,7.4,28.7
20093,7.7,21.5
20095,7.6,33.3
20097,8.3,26.8
20099,10.1,32.8
20101,7.2,24.2
20103,11.1,35.1
20105,8,25.2
20107,10.5,30.8
20109,7.4,22.2
20111,8.2,36
20113,9.1,31.1
20115,9,25
20117,7.5,33.8
20119,6.9,19.7
20121,8,37.6
20123,8.5,33.9
20125,11,38.1
20127,8.3,28.4
20129,7.3,21.5
20131,5.8,28.5
20133,7.7,34.2
20135,9,27.8
20137,8.6,24.1
20139,9,42.8
20141,8.3,28.8
20143,8.8,28.5
20145,8.8,32.2
20147,6.8,28.7
20149,9,33.7
20151,7.4,28
20153,7.2,22.6
20155,11.3,39.8
20157,8.4,30.8
20159,9.7,33.3
20161,7.4,25.1
20163,7.2,23.5
20165,7.4,23.5
20167,7.3,28.7
20169,9.8,36.4
20171,7.9,21.4
